,win,firstBlood,firstTower,firstInhibitor,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills,gameId
41347,Win,FALSE,FALSE,TRUE,11,3,2,2,0,4237953150
41348,Win,TRUE,TRUE,TRUE,11,5,1,4,2,4236075396
41349,Win,TRUE,TRUE,TRUE,8,1,1,1,2,4235985223
41350,Win,TRUE,FALSE,FALSE,6,0,1,3,0,4235932347
41351,Win,TRUE,TRUE,FALSE,6,0,0,1,2,4235773127
41352,Win,FALSE,TRUE,TRUE,8,1,1,4,1,4235641835
41353,Win,TRUE,TRUE,TRUE,7,1,0,0,2,4235060738
41355,Win,TRUE,TRUE,TRUE,10,2,0,2,0,4232681892
41356,Win,FALSE,TRUE,TRUE,11,3,2,4,2,4232498871
41357,Win,FALSE,TRUE,FALSE,5,0,1,3,1,4232377457
41358,Win,TRUE,TRUE,TRUE,8,1,0,3,2,4232221441
41359,Win,TRUE,TRUE,TRUE,10,2,0,1,1,4232093887
41361,Win,TRUE,TRUE,TRUE,9,1,0,2,1,4229616318
41362,Win,TRUE,TRUE,FALSE,5,0,0,2,1,4229518116
41363,Win,TRUE,TRUE,TRUE,7,1,0,3,2,4229187535
41364,Win,FALSE,TRUE,TRUE,7,1,0,4,2,4229136067
41365,Win,TRUE,FALSE,FALSE,9,2,1,3,0,4227335861
41366,Win,TRUE,TRUE,TRUE,6,1,0,4,1,4227189662
41367,Win,FALSE,FALSE,TRUE,7,1,3,4,1,4227099156
41368,Win,FALSE,TRUE,TRUE,11,5,0,2,2,4227027793
41369,Win,FALSE,FALSE,TRUE,10,5,1,5,0,4226866275
41370,Win,FALSE,FALSE,TRUE,11,3,1,3,2,4226474338
41371,Win,TRUE,TRUE,TRUE,7,1,0,3,1,4225111701
41372,Win,FALSE,TRUE,TRUE,7,1,1,3,1,4224997120
41373,Win,FALSE,FALSE,TRUE,7,1,0,3,1,4224715926
41375,Win,TRUE,TRUE,FALSE,5,0,1,2,0,4224202861
41376,Win,FALSE,FALSE,FALSE,5,0,1,2,0,4232931376
41377,Win,TRUE,TRUE,TRUE,10,4,2,3,2,4230424416
41378,Win,FALSE,TRUE,TRUE,8,1,1,2,2,4230314076
41380,Win,FALSE,TRUE,FALSE,7,1,1,4,2,4229612598
41381,Win,TRUE,TRUE,TRUE,9,2,1,4,1,4229362504
41382,Win,FALSE,TRUE,TRUE,5,1,0,2,2,4229062168
